,state,lga_name,locality_name,lc1_1,rm2b,inf1a_1,inf1a_2,inf1a_3,inf1a_4,inf1a_5
22092,ONDO,ODIGBO,OMIFON,no,,no,no,yes,no,no
22093,ONDO,ODIGBO,OMIFON,no,,no,no,no,yes,no
22094,ONDO,ODIGBO,OMIFON,no,,no,no,no,no,no
22095,ONDO,ODIGBO,OMIFON,yes,,no,no,no,no,no
22096,ONDO,OSE,IFON,no,,no,no,no,no,no
22097,ONDO,AKOKO NORTH EAST,IKARE AKOKO,no,,no,no,no,no,no
22098,ONDO,AKOKO NORTH EAST,IKARE AKOKO,yes,,no,no,no,no,no
22099,ONDO,IRELE,ODE-AJAGBA,no,,no,no,no,no,no
22100,ONDO,ONDO WEST,ONDO,no,,no,no,no,yes,no
22101,ONDO,ILE OLUJI/OKEIGBO,BAMIKEMO,no,no,no,no,no,yes,no
22102,ONDO,ILE OLUJI/OKEIGBO,ILEOLUJI,yes,,no,no,no,yes,no
22103,ONDO,AKOKO NORTH WEST,AJOWA AKOKO,yes,,yes,no,no,yes,no
22104,ONDO,ILAJE,ENU AMA,no,,no,no,yes,no,no
22105,ONDO,ILAJE,IGBOKODA,no,,no,no,no,yes,no
22106,ONDO,ILAJE,IGBOKODA,no,,no,no,no,no,no
22107,ONDO,IFEDORE,IGBARAOKE,no,,no,no,no,yes,no
22108,ONDO,IFEDORE,IBULE SORO,yes,no,yes,no,no,no,no
22109,ONDO,IFEDORE,IBULE SORO,no,,no,no,no,yes,no
22110,ONDO,IFEDORE,IBULE SORO,no,,no,no,no,yes,no
22111,ONDO,IFEDORE,IBULE SORO,no,,no,no,no,no,no
22112,ONDO,IFEDORE,OSOLO CAMP  IBUJI,no,,no,no,no,no,no
22113,ONDO,IDANRE,ODODE IDANRE,no,,no,no,no,yes,no
22114,ONDO,IDANRE,ODODE IDANRE,no,,no,no,no,yes,no
22115,ONDO,IDANRE,ODODE IDANRE,no,,no,no,no,no,no
22116,ONDO,ESE-ODO,DOGHOKIRI ZION,no,no,no,no,no,no,no
22117,ONDO,ESE-ODO,DOGHOKIRI ZION,no,,no,no,no,yes,no
22118,ONDO,ESE-ODO,DOGHOKIRI ZION,yes,,yes,no,no,yes,no
22119,ONDO,AKOKO SOUTH EAST,IPE AKOKO,no,,yes,no,no,no,no
22120,ONDO,AKURE SOUTH,ISIKAN,no,,no,no,no,yes,no
22121,ONDO,AKURE SOUTH,ISIKAN,no,,no,no,no,no,no
22122,ONDO,AKURE SOUTH,ISIKAN,yes,,yes,no,yes,no,yes
22123,ONDO,AKURE SOUTH,AKURE,yes,,no,no,no,no,no
22124,ONDO,AKURE NORTH,ELEYOWO,no,no,no,no,no,yes,no
22125,ONDO,AKURE NORTH,ELEYOWO,yes,no,no,no,no,yes,no
22126,ONDO,AKURE NORTH,ELEYOWO,no,,no,no,no,no,no
22127,ONDO,AKURE NORTH,ELEYOWO,no,no,no,no,no,no,yes
22128,ONDO,AKURE NORTH,IGOBA,yes,,no,no,yes,no,no
22129,ONDO,AKURE NORTH,IGOBA,no,,no,no,yes,no,no
22130,ONDO,AKOKO SOUTH EAST,EPINMI,yes,no,no,no,no,no,no
22131,ONDO,AKURE NORTH,IGOBA,yes,,yes,no,no,yes,no
22132,ONDO,ONDO WEST,ERINLA,yes,,no,no,no,no,no
22133,ONDO,AKOKO SOUTH WEST,AYEGUNE OKA,no,,no,no,no,no,no
22134,ONDO,AKOKO SOUTH WEST,AGBA OKA AKOKO,yes,,no,no,yes,no,no
22135,ONDO,AKOKO SOUTH WEST,AGBA OKA AKOKO,no,,no,no,no,no,no
22136,ONDO,AKOKO SOUTH EAST,EPINMI,no,no,no,no,no,no,no
